Семейство,Введённое название,Принятое название,Висимский заповедник,Жигулевский заповедник,,,,,,Семейство,Введённое название,Принятое название,Висимский заповедник,Жигулевский заповедник
Hydrocharitaceae,Hydrocharis morsus-ranae L.,,-,+,,,,,,Crassulaceae,Hylotelephium maximum (L.) Holub ,,-,+
Hydrocharitaceae,Stratiotes aloides L.,,-,+,,,,,,Crassulaceae,Hylotelephium stepposum (Boriss.) Tzvel.,,-,+
Hydrophyllaceae,Phacelia tanacetifolia Benth.,,-,+,,,,,,Crassulaceae,Hylotelephium triphyllum (Haw.) Holub,Sedum telephium L., + ,+
Hypericaceae,Hypericum maculatum Crantz,Hypericum maculatum Crantz, + ,-,,,,,,Crassulaceae,Hylotelephium zhiguliense Tzvel.,,-,+
Hypericaceae,Hypericum perforatum L.,Hypericum perforatum L., + ,+,,,,,,Solanaceae ,Hyoscyamus niger L. ,,-,+
Hypericaceae,Hypericum hirsutum L.,Hypericum hirsutum L., + ,+,,,,,,Hypericaceae,Hypericum elegans Steph.,,-,+
Hypericaceae,Hypericum elegans Steph.,,-,+,,,,,,Hypericaceae,Hypericum hirsutum L.,Hypericum hirsutum L., + ,+
Hypolepidaceae,Pteridium pinetorum C.N. Page & R.R. Mill,Pteridium aquilinum subsp. pinetorum (C.N. Page & R.R. Mill) J.A. Thomson, + ,-,,,,,,Hypericaceae,Hypericum maculatum Crantz,Hypericum maculatum Crantz, + ,-
Hypolepidaceae,Pteridium aquilinum (L.) Kuhn ,,-,+,,,,,,Hypericaceae,Hypericum perforatum L.,Hypericum perforatum L., + ,+
Iridaceae,Iris sibirica L.,Iris sibirica L., + ,+,,,,,,Monotropaceae,Hypopitys monotropa Crantz,Monotropa hypopitys L., + ,+
Iridaceae,Gladiolus imbricatus L.,,-,+,,,,,,Balsaminaceae,Impatiens glandulifera Royle ,,-,+
Iridaceae,Iris pseudacorus L.,,-,+,,,,,,Balsaminaceae,Impatiens noli-tangere L.,Impatiens noli-tangere L., + ,-
Iridaceae,Iris pumila L.,,-,+,,,,,,Balsaminaceae,Impatiens noli-tangere L.,,-,+
Juglandaceae,Juglans mandchurica Maxim.,,-,+,,,,,,Balsaminaceae,Impatiens parviflora DC.,,-,+
Juncaceae,Juncus alpino-articulatus Chaix,Juncus alpino-articulatus Chaix, + ,-,,,,,,Asteraceae (Compositae),Inula aspera Poir. ,,-,+
Juncaceae,Juncus articulatus L.,Juncus articulatus L., + ,+,,,,,,Asteraceae (Compositae),Inula britannica L.,,-,+
Juncaceae,Juncus filiformis L.,Juncus filiformis L., + ,-,,,,,,Asteraceae (Compositae),Inula germanica L.,,-,+
Juncaceae,Juncus bufonius L.,Juncus bufonius L., + ,+,,,,,,Asteraceae (Compositae),Inula helenium L.,,-,+
Juncaceae,Juncus conglomeratus L. (= J. leersii Marss.),Juncus conglomeratus L., + ,-,,,,,,Asteraceae (Compositae),Inula hirta L.,,-,+
Juncaceae,Juncus tenuis Willd. (J. macer S.F. Gray),Juncus tenuis Willd., + ,+,,,,,,Asteraceae (Compositae),Inula salicina L.,Inula salicina L., + ,+
Juncaceae,Luzula multiflora (Ehrh.) Lej.,Luzula multiflora (Ehrh.) Lej., + ,+,,,,,,Iridaceae,Iris pseudacorus L.,,-,+
Juncaceae,Luzula pallescens Sw.,Luzula pallescens Sw., + ,-,,,,,,Iridaceae,Iris pumila L.,,-,+
Juncaceae,Luzula pilosa (L.) Willd.,Luzula pilosa (L.) Willd., + ,-,,,,,,Iridaceae,Iris sibirica L.,Iris sibirica L., + ,+
Juncaceae,Juncus atratus Krock.,,-,+,,,,,,Brassicaceae (Cruciferae),Isatis tinctoria L. ,,-,+
Juncaceae,Juncus compressus Jacq.,,-,+,,,,,,Juglandaceae,Juglans mandchurica Maxim.,,-,+
Juncaceae,Juncus effeusus L.,,-,+,,,,,,Juncaceae,Juncus alpino-articulatus Chaix,Juncus alpino-articulatus Chaix, + ,-
Juncaceae,Juncus gerardii Loisel.,,-,+,,,,,,Juncaceae,Juncus articulatus L.,Juncus articulatus L., + ,+
Juncaceae,Juncus nastanthus V. Krecz. et Gontsch.,,-,+,,,,,,Juncaceae,Juncus atratus Krock.,,-,+
Juncaceae,Juncus ranarius Song. et Perr. ex Billot,,-,+,,,,,,Juncaceae,Juncus bufonius L.,Juncus bufonius L., + ,+
Juncaceae,Luzula pallidula Kirschner,,-,+,,,,,,Juncaceae,Juncus compressus Jacq.,,-,+
Juncaginaceae,Triglochin palustre L.,,-,+,,,,,,Juncaceae,Juncus conglomeratus L. (= J. leersii Marss.),Juncus conglomeratus L., + ,-
Lamiaceae (Labiatae),Ajuga reptans L.,Ajuga reptans L., + ,-,,,,,,Juncaceae,Juncus effeusus L.,,-,+
Lamiaceae (Labiatae),Galeopsis bifida Boenn.,Galeopsis bifida Boenn., + ,+,,,,,,Juncaceae,Juncus filiformis L.,Juncus filiformis L., + ,-
Lamiaceae (Labiatae),Galeopsis speciosa Mill.,Galeopsis speciosa Mill., + ,+,,,,,,Juncaceae,Juncus gerardii Loisel.,,-,+
Lamiaceae (Labiatae),Glechoma hederacea L.,Glechoma hederacea L., + ,+,,,,,,Juncaceae,Juncus nastanthus V. Krecz. et Gontsch.,,-,+
Lamiaceae (Labiatae),Lamium album L.,Lamium album L., + ,+,,,,,,Juncaceae,Juncus ranarius Song. et Perr. ex Billot,,-,+
Lamiaceae (Labiatae),Mentha arvensis L.,Mentha arvensis L., + ,+,,,,,,Juncaceae,Juncus tenuis Willd. (J. macer S.F. Gray),Juncus tenuis Willd., + ,+
Lamiaceae (Labiatae),Prunella vulgaris L.,Prunella vulgaris L., + ,+,,,,,,Cupressaceae,Juniperus communis L.,Juniperus communis L., + ,+
Lamiaceae (Labiatae),Scutellaria galericulata L.,Scutellaria galericulata L., + ,+,,,,,,Cupressaceae,Juniperus sabina L.,,-,+
Lamiaceae (Labiatae),Betonica officinalis L.,Stachys officinalis (L.) Trevis., + ,+,,,,,,Asteraceae (Compositae),Jurinea arachnoidea Bunge ,,-,+
Lamiaceae (Labiatae),Stachys palustris L.,Stachys palustris L., + ,+,,,,,,Asteraceae (Compositae),Jurinea cyanoides (L.) Reichenb.,,-,+
Lamiaceae (Labiatae),Stachys sylvatica L.,Stachys sylvatica L., + ,+,,,,,,Asteraceae (Compositae),Jurinea ledebourii Bunge,,-,+
Lamiaceae (Labiatae),Acinos arvensis (Lam.) Dandy ,,-,+,,,,,,Apiaceae (Umbelliferae),Kadenia dubia (Schkuhr) Lavrova et V. Tichom. ,,-,+
Lamiaceae (Labiatae),Ajuga chia Schreb. ,,-,+,,,,,,Dipsacaceae,Knautia arvensis (L.) J.M.Coult.,Knautia arvensis (L.) Coult., + ,+
Lamiaceae (Labiatae),Ajuga genevensis L.,,-,+,,,,,,Dipsacaceae,Knautia tatarica (L.) Szabo,Knautia tatarica (L.) Szabó, + ,+
Lamiaceae (Labiatae),Ballota nigra L. ,,-,+,,,,,,Chenopodiaceae,Kochia densiflora. (Moq.) Aell. ,,-,+
Lamiaceae (Labiatae),Chaiturus marrubiastrum (L.) Reichenb. ,,-,+,,,,,,Chenopodiaceae,Kochia laniflora (S.G. Gmel.) Borb.,,-,+
Lamiaceae (Labiatae),Clinopodium vulgare L. ,,-,+,,,,,,Chenopodiaceae,Kochia prostrata (L.) Schrad.,,-,+
Lamiaceae (Labiatae),Dracocephalum ruyschiana L. ,,-,+,,,,,,Chenopodiaceae,Kochia scoparia (L.) Schrad.,,-,+
Lamiaceae (Labiatae),Dracocephalum thymiflorum L.,,-,+,,,,,,Poaceae (Gramineae),Koeleria cristata (L.) Pers. ,,-,+
Lamiaceae (Labiatae),Elsholtzia ciliata (Thunb.) Hyl. ,,-,+,,,,,,Poaceae (Gramineae),Koeleria glauca (Spreng.) DC.,,-,+
Lamiaceae (Labiatae),Galeopsis ladanum L.,,-,+,,,,,,Poaceae (Gramineae),Koeleria sabuletorum (Domin) Klok.,,-,+
Lamiaceae (Labiatae),Galeopsis tetrahit L.,,-,+,,,,,,Poaceae (Gramineae),Koeleria sclerophylla P. Smirn.,,-,+
Lamiaceae (Labiatae),Glechoma hirsuta Waldst. et Kit.,,-,+,,,,,,Chenopodiaceae,Krascheninnikovia ceratoides (L.) Gueldenst. ,,-,+
Lamiaceae (Labiatae),Lamium paczoskianum Worosch.,,-,+,,,,,,Asteraceae (Compositae),Lactuca chaixit Vill. ,,-,+
Lamiaceae (Labiatae),Lamium purpureum L.,,-,+,,,,,,Asteraceae (Compositae),Lactuca saligna L.,,-,+
Lamiaceae (Labiatae),Leonurus glaucescens Bunge ,,-,+,,,,,,Asteraceae (Compositae),Lactuca sativa L.,,-,+
Lamiaceae (Labiatae),Leonurus quinquelobatus Gilib.,,-,+,,,,,,Asteraceae (Compositae),Lactuca serriola L.,,-,+
Lamiaceae (Labiatae),Lycopus europaeus L. ,,-,+,,,,,,Asteraceae (Compositae),Lactuca sibirica (L.) Benth. ex Maxim.,,-,+
Lamiaceae (Labiatae),Lycopus exaltatus L. fil. ,,-,+,,,,,,Asteraceae (Compositae),Lactuca tatarica (L.) C.A. Mey.,,-,+
Lamiaceae (Labiatae),Mentha longifolia (L.) Huds.,,-,+,,,,,,Lamiaceae (Labiatae),Lamium album L.,Lamium album L., + ,+
Lamiaceae (Labiatae),Mentha × verticillata L.,,-,+,,,,,,Lamiaceae (Labiatae),Lamium paczoskianum Worosch.,,-,+
Lamiaceae (Labiatae),Nepeta cataria L. ,,-,+,,,,,,Lamiaceae (Labiatae),Lamium purpureum L.,,-,+
Lamiaceae (Labiatae),Nepeta pannonica L.,,-,+,,,,,,Boraginaceae,Lappula heteracantha (Ledeb.) Borb. ,,-,+
Lamiaceae (Labiatae),Origanum vulgare L. ,,-,+,,,,,,Boraginaceae,Lappula patula (Lehm.) Menyhárth,,-,+
Lamiaceae (Labiatae),Phlomoides tuberosa (L.) Moench ,,-,+,,,,,,Boraginaceae,Lappula squarrosa (Retz.) Dumort.,,-,+
Lamiaceae (Labiatae),Salvia glutinosa L. ,,-,+,,,,,,Asteraceae (Compositae),Lapsana communis L. ,,-,+
Lamiaceae (Labiatae),Salvia nutans L.,,-,+,,,,,,Pinaceae,Larix sibirica Ledeb.,Larix sibirica Ledeb., + ,-
Lamiaceae (Labiatae),Salvia pratensis L.,,-,+,,,,,,Apiaceae (Umbelliferae),Laser trilobum (L.) Borkh. ,,-,+
Lamiaceae (Labiatae),Salvia stepposa Schost.,,-,+,,,,,,Fabaceae (Leguminosae),Lathyrus gmelinii Fritsch,Lathyrus gmelinii Fritsch, + ,-
Lamiaceae (Labiatae),Salvia tesquicola Klok. et Pobed.,,-,+,,,,,,Fabaceae (Leguminosae),Lathyrus litvinovii Iljin ,,-,+
Lamiaceae (Labiatae),Salvia verticillata L.,,-,+,,,,,,Fabaceae (Leguminosae),Lathyrus palescens (Bieb.) C. Koch,,-,+
Lamiaceae (Labiatae),Scutellaria dubia Taliev et Sirj. ,,-,+,,,,,,Fabaceae (Leguminosae),Lathyrus pisiformis L.,,-,+
Lamiaceae (Labiatae),Scutellaria hastifolia L.,,-,+,,,,,,Fabaceae (Leguminosae),Lathyrus platyphyllos Retz.,,-,+
Lamiaceae (Labiatae),Stachys annua (L.) L. ,,-,+,,,,,,Fabaceae (Leguminosae),Lathyrus pratensis L.,Lathyrus pratensis L., + ,+
Lamiaceae (Labiatae),Stachys recta L.,,-,+,,,,,,Fabaceae (Leguminosae),Lathyrus sylvestris L.,,-,+
Lamiaceae (Labiatae),Stachys wolgensis Wilensky,,-,+,,,,,,Fabaceae (Leguminosae),Lathyrus tuberosus L.,,-,+
Lamiaceae (Labiatae),Thymus marschallianus Willd. ,,-,+,,,,,,Fabaceae (Leguminosae),Lathyrus vernus (L.) Bernh.,Lathyrus vernus (L.) Bernh., + ,+
Lamiaceae (Labiatae),Thymus zheguliensis Klok. et Schost.,,-,+,,,,,,Malvaceae ,Lavatera thuringiaca L ,,-,+
Lemnaceae,Lemna minor L.,Lemna minor L., + ,+,,,,,,Ericaceae,Ledum palustre L.,Ledum palustre L., + ,-
Lemnaceae,Lemna trisulca L.,,-,+,,,,,,Poaceae (Gramineae),Leersia oryzoides (L.) Sw. ,,-,+
Lemnaceae,Spirodela polyrrhixza (L.) Schleid.,,-,+,,,,,,Lemnaceae,Lemna minor L.,Lemna minor L., + ,+
Lentibulariaceae ,Utricularia australis R. Br. ,,-,+,,,,,,Lemnaceae,Lemna trisulca L.,,-,+
Lentibulariaceae ,Utricularia intermedia Hayne,,-,+,,,,,,Asteraceae (Compositae),Leontodon autumnalis L.,Scorzoneroides autumnalis (L.) Moench, + ,+
Lentibulariaceae ,Utricularia minor L.,,-,+,,,,,,Lamiaceae (Labiatae),Leonurus glaucescens Bunge ,,-,+
Lentibulariaceae ,Utricularia vulgaris L.,,-,+,,,,,,Lamiaceae (Labiatae),Leonurus quinquelobatus Gilib.,,-,+
Liliaceae,Gagea lutea (L.) Ker-Gawl.,Gagea lutea (L.) Ker Gawl., + ,+,,,,,,Brassicaceae (Cruciferae),Lepidium densiflorum Schrad. ,,-,+
Liliaceae,Gagea minima (L.) Ker-Gawl.,Gagea minima (L.) Ker Gawl., + ,+,,,,,,Brassicaceae (Cruciferae),Lepidium latifolium L.,,-,+
Liliaceae,Gagea samojedorum Grossh.,Gagea liotardii (Sternb.) Schult. & Schult.f., + ,-,,,,,,Brassicaceae (Cruciferae),Lepidium ruderale L.,,-,+
Liliaceae,Lilium pilosiusculum (Freyn) Miscz.,Lilium martagon var. pilosiusculum Freyn, + ,+,,,,,,Brassicaceae (Cruciferae),Lepidium sativum L.,,-,+
Liliaceae,Gagea granulosa Turcz.,Gagea granulosa Turcz., + ,-,,,,,,Asteraceae (Compositae),Lepidotheca suaveolens (Pursh) Nutt. ,,-,+
Liliaceae,Fritillaria ruthenica Wikstr.,,-,+,,,,,,Asteraceae (Compositae),Leucanthemum vulgare Lam.,Leucanthemum vulgare (Vaill.) Lam., + ,+
Liliaceae,Gagea artemczukii A. Krasnova,,-,+,,,,,,Poaceae (Gramineae),Leymus karelinii (Turcz.) Tzvel.,,-,+
Liliaceae,Gagea bulbifera (Pall.) Salisb.,,-,+,,,,,,Poaceae (Gramineae),Leymus racemosus (Lam.) Tzvel.,,-,+
Liliaceae,Gagea erubescens (Bess.) Schult. et Schult. fil.,,-,+,,,,,,Apiaceae (Umbelliferae),Libanotis sibirica (L.) C.A. Mey. ,,-,+
Liliaceae,Gagea mirabilis Grossh.,,-,+,,,,,,Asteraceae (Compositae),Ligularia sibirica (L.) Cass.,Ligularia sibirica (L.) Cass., + ,-
Liliaceae,Gagea podolica Schult. et Schult. fil.,,-,+,,,,,,Liliaceae,Lilium martagon L.,,-,+
Liliaceae,Lilium martagon L.,,-,+,,,,,,Liliaceae,Lilium pilosiusculum (Freyn) Miscz.,Lilium martagon var. pilosiusculum Freyn, + ,+
Liliaceae,Tulipa biebersteiniana Schult. et Schult. fil.,,-,+,,,,,,Scrophulariaceae,Limosella aquatica L.,,-,+
Liliaceae,Tulipa quercetorum Klok. et Zoz,,-,+,,,,,,Scrophulariaceae,Linaria genistifolia (L.) Mill. ,,-,+
Linaceae ,Linum flavum L. ,,-,+,,,,,,Scrophulariaceae,Linaria rutenica Blonski,,-,+
Linaceae ,Linum perenne L.,,-,+,,,,,,Scrophulariaceae,Linaria vulgaris L.,Linaria vulgaris Mill., + ,+
Linaceae ,Linum uralense Juz.,,-,+,,,,,,Scrophulariaceae,Lindernia procumbens (Krock.) Borb. ,,-,+
Lycopodiaceae,Diphasiastrum complanatum (L.) Holub,Diphasiastrum complanatum (L.) Holub, + ,-,,,,,,Caprifoliaceae,Linnaea borealis L.,Linnaea borealis L., + ,-
Lycopodiaceae,Lycopodium annotinum L.,Lycopodium annotinum L., + ,-,,,,,,Linaceae ,Linum flavum L. ,,-,+
Lycopodiaceae,Lycopodium clavatum L.,Lycopodium clavatum L., + ,-,,,,,,Linaceae ,Linum perenne L.,,-,+
Lythraceae ,Lythrum salicaria L. ,,-,+,,,,,,Linaceae ,Linum uralense Juz.,,-,+
Lythraceae ,Lythrum tomentosum DC.,,-,+,,,,,,Orchidaceae,Liparis loeselit Rich. ,,-,+
Lythraceae ,Lythrum virgatum L.,,-,+,,,,,,Orchidaceae,Listera cordata (L.) R.Br.,Neottia cordata (L.) Rich., + ,-
Lythraceae ,Peplis portula L. ,,-,+,,,,,,Orchidaceae,Listera ovata (L.) R.Br.,Neottia ovata (L.) Bluff & Fingerh., + ,-
Malvaceae ,Abutilon theophrasti Medik.,,-,+,,,,,,Boraginaceae,Lithospermum officinale L. ,,-,+
Malvaceae ,Alcea rosea L.,,-,+,,,,,,Asteraceae (Compositae),Logfia arvensis (L.) Holub ,,-,+
Malvaceae ,Althaea oficinalis L. ,,-,+,,,,,,Poaceae (Gramineae),Lolium temulentum L.,Lolium temulentum L., + ,-
Malvaceae ,Hibiscus trionum L.  ,,-,+,,,,,,Caprifoliaceae,Lonicera altaica Pall. ex DC.,Lonicera caerulea subsp. altaica (Pall.) Gladkova, + ,-
Malvaceae ,Lavatera thuringiaca L ,,-,+,,,,,,Caprifoliaceae,Lonicera pallasii Ledeb.,Lonicera caerulea subsp. pallasii (Ledeb.) Browicz, + ,-
Malvaceae ,Malva neglecta Wallr. ,,-,+,,,,,,Caprifoliaceae ,Lonicera tatarica L. ,,-,+
Malvaceae ,Malva pusilla Smith ,,-,+,,,,,,Caprifoliaceae,Lonicera xylosteum L.,Lonicera xylosteum L., + ,+
Melanthiaceae,Veratrum lobelianum Bernh.,Veratrum lobelianum Bernh., + ,+,,,,,,Fabaceae (Leguminosae),Lotus corniculatus L. ,,-,+
Menyanthaceae,Menyanthes trifoliata L.,Menyanthes trifoliata L., + ,+,,,,,,Fabaceae (Leguminosae),Lotus zhegulensis Klok.,,-,+
Monotropaceae,Hypopitys monotropa Crantz,Monotropa hypopitys L., + ,+,,,,,,Fabaceae (Leguminosae),Lupinaster albus Link ,,-,+
Najadaceae,Caulinia minor (All.) Coss. et Germ,,-,+,,,,,,Juncaceae,Luzula multiflora (Ehrh.) Lej.,Luzula multiflora (Ehrh.) Lej., + ,+
Najadaceae,Najada marina L.,,-,+,,,,,,Juncaceae,Luzula pallescens Sw.,Luzula pallescens Sw., + ,-
Nymphaeaceae,Nuphar lutea (L.) Smith,Nuphar lutea (L.) Sm., + ,+,,,,,,Juncaceae,Luzula pallidula Kirschner,,-,+
Nymphaeaceae,Nuphar pumila (Timm) DC.,Nuphar pumila (Timm) DC., + ,-,,,,,,Juncaceae,Luzula pilosa (L.) Willd.,Luzula pilosa (L.) Willd., + ,-
Nymphaeaceae,Nymphaea alba L.,,-,+,,,,,,Caryophyllaceae ,Lychnis chalcedonica L. ,,-,+
Nymphaeaceae,Nymphaea candida J. et C. Presl,,-,+,,,,,,Lycopodiaceae,Lycopodium annotinum L.,Lycopodium annotinum L., + ,-
Oleaceae ,Fraxinus excelsior L. ,,-,+,,,,,,Lycopodiaceae,Lycopodium clavatum L.,Lycopodium clavatum L., + ,-
Oleaceae ,Fraxinus pennsylvanica Marsh.,,-,+,,,,,,Lamiaceae (Labiatae),Lycopus europaeus L. ,,-,+
Oleaceae ,Syringa vulgaris L. ,,-,+,,,,,,Lamiaceae (Labiatae),Lycopus exaltatus L. fil. ,,-,+
Onagraceae,Chamaenerion angustifolium (L.) Scop.,Epilobium angustifolium L., + ,+,,,,,,Primulaceae,Lysimachia nummularia L. ,,-,+
Onagraceae,Circaea alpina L.,Circaea alpina L., + ,+,,,,,,Primulaceae,Lysimachia vulgaris L.,Lysimachia vulgaris L., + ,+
Onagraceae,Epilobium adenocaulon Hausskh.,Epilobium ciliatum Raf., + ,+,,,,,,Lythraceae ,Lythrum salicaria L. ,,-,+
Onagraceae,Epilobium montanum L.,Epilobium montanum L., + ,+,,,,,,Lythraceae ,Lythrum tomentosum DC.,,-,+
Onagraceae,Epilobium palustre L.,Epilobium palustre L., + ,+,,,,,,Lythraceae ,Lythrum virgatum L.,,-,+
Onagraceae,Circaea × intermedia Ehrh.,,-,+,,,,,,Convallariaceae,Maianthemum bifolium (L.) F.W.Schmidt,Maianthemum bifolium (L.) F.W.Schmidt, + ,+
Onagraceae,Circaea lutetiana L.,,-,+,,,,,,Orchidaceae,Malaxis monophyllos (L.) Sw.,Malaxis monophyllos (L.) Sw., + ,-
Onagraceae,Epilobium hirsutum L.,,-,+,,,,,,Rosaceae,Malus baccata (L.) Borkh. ,,-,+
Onagraceae,Epilobium parviflorum Schreb.,,-,+,,,,,,Rosaceae,Malus domestica Borkh.,Malus domestica Borkh., + ,+
Onagraceae,Epilobium pseudorubescens A.Skvorts.,,-,+,,,,,,Rosaceae,Malus praecox (Pall.) Borkh.,,-,+
Onagraceae,Epilobium roseum Schred.,,-,+,,,,,,Rosaceae,Malus sylvestris Mill.,,-,+
Onagraceae,Epilobium smyrneum Boiss. et Balansa,,-,+,,,,,,Malvaceae ,Malva neglecta Wallr. ,,-,+
Onagraceae,Epilobium tetragonum L.,,-,+,,,,,,Malvaceae ,Malva pusilla Smith ,,-,+
Onagraceae,Oenothera biennis L. ,,-,+,,,,,,Asteraceae (Compositae),Matricaria recutita L. ,,-,+
Onagraceae,Oenothera villosa Thunb.,,-,+,,,,,,Onocleaceae,Matteuccia struthiopteris (L.) Tod.,Matteuccia struthiopteris (L.) Tod., + ,+
Onagraceae ,Epilobium collinum C.C. Gmel.,Epilobium collinum C.C.Gmel., + ,-,,,,,,Fabaceae (Leguminosae),Medicago falcata L. ,,-,+
Onocleaceae,Matteuccia struthiopteris (L.) Tod.,Matteuccia struthiopteris (L.) Tod., + ,+,,,,,,Fabaceae (Leguminosae),Medicago lupulina L.,,-,+
Orchidaceae,Calypso bulbosa (L.) Oakes.,Calypso bulbosa (L.) Oakes, + ,-,,,,,,Fabaceae (Leguminosae),Medicago romanica Prod.,,-,+
Orchidaceae,Coeloglossum viride (L.) Hartm.,"Dactylorhiza viridis (L.) R.M.Bateman, Pridgeon & M.W.Chase", + ,-,,,,,,Fabaceae (Leguminosae),Medicago sativa L.,,-,+
Orchidaceae,Corallorhiza trifida Chatel.,Corallorhiza trifida Châtel., + ,-,,,,,,Scrophulariaceae,Melampyrum argyrocomum (Fisch. ex Ledeb.) K.-Pol. ,,-,+
Orchidaceae,Dactylorhiza fuchsii (Druce) Soó,Dactylorhiza fuchsii (Druce) Soó, + ,-,,,,,,Scrophulariaceae,Melampyrum arvense L.,,-,+
Orchidaceae,Dactylorhiza hebridensis (Wilmott) Aver.,Dactylorhiza fuchsii subsp. hebridensis (Wilmott) Soó, + ,-,,,,,,Scrophulariaceae,Melampyrum cristatum L.,,-,+
Orchidaceae,Dactylorhiza maculata (L.) Soó,Dactylorhiza maculata (L.) Soó, + ,-,,,,,,Scrophulariaceae,Melampyrum nemorosum L.,,-,+
Orchidaceae,Dactylorhiza incarnata (L.) Soó,Dactylorhiza incarnata (L.) Soó, + ,-,,,,,,Scrophulariaceae,Melampyrum polonicum (Beauverd) Soo,,-,+
Orchidaceae,Epipogium aphyllum (F.W.Schmidt) Sw.,Epipogium aphyllum Sw., + ,-,,,,,,Scrophulariaceae,Melampyrum pratense L.,Melampyrum pratense L., + ,-
Orchidaceae,Goodyera repens (L.) R.Br.,Goodyera repens (L.) R.Br., + ,-,,,,,,Scrophulariaceae,Melampyrum sylvaticum L.,,-,+
Orchidaceae,Gymnadenia conopsea (L.) R.Br.,Gymnadenia conopsea (L.) R.Br., + ,+,,,,,,Caryophyllaceae ,Melandrium album (Mill.) Garcke ,,-,+
Orchidaceae,Hammarbya paludosa (L.) Kuntze,Hammarbya paludosa (L.) Kuntze, + ,-,,,,,,Poaceae (Gramineae),Melica altissima L. ,,-,+
Orchidaceae,Herminium monorchis (L.) R. Br.,Herminium monorchis (L.) R.Br., + ,-,,,,,,Poaceae (Gramineae),Melica nutans L.,Melica nutans L., + ,+
Orchidaceae,Listera cordata (L.) R.Br.,Neottia cordata (L.) Rich., + ,-,,,,,,Poaceae (Gramineae),Melica transsilvanica Schur ,,-,+
Orchidaceae,Listera ovata (L.) R.Br.,Neottia ovata (L.) Bluff & Fingerh., + ,-,,,,,,Fabaceae (Leguminosae),Melilotus albus Medik. ,,-,+
Orchidaceae,Malaxis monophyllos (L.) Sw.,Malaxis monophyllos (L.) Sw., + ,-,,,,,,Fabaceae (Leguminosae),Melilotus dentatus (Waldst. et Kit.) Pers.,,-,+
Orchidaceae,Platanthera bifolia (L.) Rich.,Platanthera bifolia (L.) Rich., + ,+,,,,,,Fabaceae (Leguminosae),Melilotus officinalis (L.) Pall.,,-,+
Orchidaceae,Cephalanthera rubra (L.) Rich.,,-,+,,,,,,Brassicaceae (Cruciferae),Meniocus linifolius (Steph.) DC. ,,-,+
Orchidaceae,Cypripedium calceolus L.  ,,-,+,,,,,,Lamiaceae (Labiatae),Mentha × verticillata L.,,-,+
Orchidaceae,Epipactis atrorubens (Hoffm. ex Bernh.) Schult. ,,-,+,,,,,,Lamiaceae (Labiatae),Mentha arvensis L.,Mentha arvensis L., + ,+
Orchidaceae,Epipactis helleborine (L.) Crantz ,,-,+,,,,,,Lamiaceae (Labiatae),Mentha longifolia (L.) Huds.,,-,+
Orchidaceae,Epipactis palustris (L.) Crantz ,,-,+,,,,,,Menyanthaceae,Menyanthes trifoliata L.,Menyanthes trifoliata L., + ,+
Orchidaceae,Hammarbya paludosa (L.) ,,-,+,,,,,,Euphorbiaceae ,Mercurialis perennis L. ,,-,+
Orchidaceae,Liparis loeselit Rich. ,,-,+,,,,,,Poaceae (Gramineae),Milium effusum L.,Milium effusum L., + ,+
Orchidaceae,Neottia nidus-avis (L.) Rich.  ,,-,+,,,,,,Caryophyllaceae,Moehringia lateriflora (L.) Fenzl,Moehringia lateriflora (L.) Fenzl, + ,+
Orobanchaceae,Orobanche krylowii Beck,Orobanche elatior Sutton, + ,-,,,,,,Caryophyllaceae ,Moehringia trinervia (L.) Clairv.,,-,+
Orobanchaceae,Orobanche alba Steph. ,,-,+,,,,,,Pyrolaceae,Moneses uniflora (L.) A.Gray,Moneses uniflora A.Gray, + ,-
Orobanchaceae,Orobanche alsatica Kirschl.,,-,+,,,,,,Boraginaceae,Myosotis arvensis (L.) Hill,Myosotis arvensis (L.) Hill, + ,+
Orobanchaceae,Orobanche bartlingii Griseb.,,-,+,,,,,,Boraginaceae,Myosotis caespitosa Schultz,Myosotis laxa subsp. caespitosa (Schultz) Hyl. ex Nordh., + ,-
Orobanchaceae,Orobanche coerulescens Steph.,,-,+,,,,,,Boraginaceae,Myosotis cespitosa K.F. Schultz,,-,+
Orobanchaceae,Orobanche cumana Wallr.,,-,+,,,,,,Boraginaceae,Myosotis krylovii Serg. (=Myosotis sylvatica Ehrh. ex Hoffm.),Myosotis krylovii Serg., + ,-
Orobanchaceae,Orobanche elatior Sutt.,,-,+,,,,,,Boraginaceae,Myosotis micrantha Pall. ex Lehm.,,-,+
Orobanchaceae,Orobanche lutea Baumg.,,-,+,,,,,,Boraginaceae,Myosotis palustris (L.) L.,Myosotis scorpioides L., + ,+
Orobanchaceae,Phelipanche laevis (L.) Holub ,,-,+,,,,,,Boraginaceae,Myosotis popovii Dobrocz.,,-,+
Orobanchaceae,Phelipanche lanuginosa (C.A. Mey.),,-,+,,,,,,Boraginaceae,Myosotis ramosissima Rochel ex Schult,,-,+
Orobanchaceae,Phelipanche purpurea (Jacq.) Sojak,,-,+,,,,,,Boraginaceae,Myosotis sparsiflora Pohl,Myosotis sparsiflora J.C.Mikan ex Pohl, + ,+
Oxalidaceae,Oxalis acetosella L.,Oxalis acetosella L., + ,+,,,,,,Boraginaceae,Myosotis suaveolens Waldst. et Kit.,,-,+
