Семейство,Введённое название,Принятое название,Висимский заповедник,Жигулевский заповедник,,,,,,Семейство,Введённое название,Принятое название,Висимский заповедник,Жигулевский заповедник
Apiaceae (Umbelliferae),Seseli annum L. ,,-,+,,,,,,Rosaceae,Alchemilla circularis Juz.,Alchemilla circularis Juz., + ,-
Apiaceae (Umbelliferae),Silaum silaus (L.) Schinz et Thell. ,,-,+,,,,,,Rosaceae,Alchemilla confertula Juz.,Alchemilla confertula Juz., + ,-
Apiaceae (Umbelliferae),Sium latifiolium L. ,,-,+,,,,,,Rosaceae,Alchemilla cymatophylla Juz.,Alchemilla cymatophylla Juz., + ,-
Apiaceae (Umbelliferae),Sium sisaroideum DC. ,,-,+,,,,,,Rosaceae,Alchemilla exilis Juz.,,-,+
Apiaceae (Umbelliferae),Torilis japonica (Houtt.) DC.,,-,+,,,,,,Rosaceae,Alchemilla exsculpta Juz.,Alchemilla exsculpta Juz., + ,-
Apiaceae (Umbelliferae),Trinia multicaulis (Poir.) Schischk. ,,-,+,,,,,,Rosaceae,Alchemilla glabricaulis Lindb. Fil.,,-,+
Apiaceae (Umbelliferae),Xanthoselinum alsaticum (L.) Schur ,,-,+,,,,,,Rosaceae,Alchemilla gracilis Opiz,,-,+
Araceae,Calla palustris L.,Calla palustris L., + ,-,,,,,,Rosaceae,Alchemilla heptagona Juz.,Alchemilla heptagona Juz., + ,-
Aristolochiaceae,Asarum europaeum L.,Asarum europaeum L., + ,+,,,,,,Rosaceae,Alchemilla hians Juz.,Alchemilla hians Juz., + ,-
Aristolochiaceae,Aristolochia clematitis L.,,-,+,,,,,,Rosaceae,Alchemilla integribasis Juz.,Alchemilla integribasis Juz., + ,-
Asclepidaceae ,Vincetoxicum albowianum (Kusn.) Pobed. ,,-,+,,,,,,Rosaceae,Alchemilla leiophylla Juz.,Alchemilla leiophylla Juz., + ,-
Asclepidaceae ,Vincetoxicum hirundinaria Medik. ,,-,+,,,,,,Rosaceae,Alchemilla lessingiana Juz.,Alchemilla lessingiana Juz., + ,-
Asparagaceae,Asparagus officinalis L.,,-,+,,,,,,Rosaceae,Alchemilla lindbergiana Juz.,Alchemilla lindbergiana Juz., + ,-
Asparagaceae,Asparagus polyphyllus Stev.,,-,+,,,,,,Rosaceae,Alchemilla longipes Juz.,Alchemilla longipes Juz., + ,-
Aspleniaceae,Asplenium lusaticum D. E. Mey.,,-,+,,,,,,Rosaceae,Alchemilla malimontana Juz.,Alchemilla malimontana Juz., + ,-
Aspleniaceae,Asplenium ruta-muraria L.,,-,+,,,,,,Rosaceae,Alchemilla micans Buser,Alchemilla micans Buser, + ,-
Asteraceae (Compositae),Achillea millefolium L.,Achillea millefolium L., + ,+,,,,,,Rosaceae,Alchemilla monticola Opiz,Alchemilla monticola Opiz, + ,+
Asteraceae (Compositae),Antennaria dioica (L.) Gaertn.,Antennaria dioica (L.) Gaertn., + ,+,,,,,,Rosaceae,Alchemilla nemoralis Alech.,,-,+
Asteraceae (Compositae),Arctium tomentosum Mill.,Arctium tomentosum Mill., + ,+,,,,,,Rosaceae,Alchemilla oligantha Juz.,Alchemilla oligantha Juz., + ,-
Asteraceae (Compositae),Artemisia vulgaris L.,Artemisia vulgaris L., + ,+,,,,,,Rosaceae,Alchemilla oxyodonta (Buser) C.G. Westerl.,Alchemilla oxyodonta (Buser) G.C.Westerl., + ,-
Asteraceae (Compositae),Bidens tripartita L.,Bidens tripartita L., + ,+,,,,,,Rosaceae,Alchemilla propinqua Lindb. FiI.,,-,+
Asteraceae (Compositae),Cacalia hastata L.,Parasenecio hastatus (L.) H.Koyama, + ,-,,,,,,Rosaceae,Alchemilla psiloneura Juz.,Alchemilla psiloneura Juz., + ,-
Asteraceae (Compositae),Carlina vulgaris L.,Carlina vulgaris L., + ,-,,,,,,Rosaceae,Alchemilla rigescens Juz.,Alchemilla nemoralis Alechin, + ,-
Asteraceae (Compositae),Centaurea phrygia L.,Centaurea phrygia L., + ,+,,,,,,Rosaceae,Alchemilla samuelssonii Rothm. ex Fröhner,Alchemilla samuelssonii Rothm. ex S.E.Fr”hner, + ,-
Asteraceae (Compositae),Centaurea scabiosa L.,Centaurea scabiosa L., + ,+,,,,,,Rosaceae,Alchemilla sarmatica Juz.,Alchemilla sarmatica Juz., + ,+
Asteraceae (Compositae),Cicerbita uralensis (Rouy) Beauverd,Lactuca macrophylla subsp. uralensis (Rouy) N.Kilian & Greuter, + ,-,,,,,,Rosaceae,Alchemilla semilunaris Alechin,Alchemilla semilunaris Alechin, + ,-
Asteraceae (Compositae),Cirsium heterophyllum (L.) Hill,Cirsium heterophyllum (L.) Hill, + ,+,,,,,,Rosaceae,Alchemilla sibirica Zamelis,Alchemilla sibirica Z„melis, + ,-
Asteraceae (Compositae),Cirsium oleraceum (L.) Scop.,Cirsium oleraceum (L.) Scop., + ,+,,,,,,Rosaceae,Alchemilla stellaris Juz.,Alchemilla stellaris Juz., + ,-
Asteraceae (Compositae),Cirsium palustre (L.) Scop.,Cirsium palustre (L.) Coss. ex Scop., + ,+,,,,,,Rosaceae,Alchemilla subcrenata Bus.,Alchemilla subcrenata Buser, + ,+
Asteraceae (Compositae),Cirsium setosum (Willd.) Besser,Cirsium arvense (L.) Scop., + ,+,,,,,,Rosaceae,Alchemilla tubulosa Juz.,Alchemilla tubulosa Juz., + ,-
Asteraceae (Compositae),Cirsium vulgare (Savi) Ten.,Cirsium vulgare (Savi) Ten., + ,+,,,,,,Alismataceae,Alisma gramineum Lej. [A. Loeselii Gorski],,-,+
Asteraceae (Compositae),Crepis paludosa (L.) Moench,Crepis paludosa (L.) Moench, + ,-,,,,,,Alismataceae,Alisma lanceolatum With.,,-,+
Asteraceae (Compositae),Crepis sibirica L.,Crepis sibirica L., + ,+,,,,,,Alismataceae,Alisma plantago-aquatica L.,Alisma plantago-aquatica L., + ,+
Asteraceae (Compositae),Crepis tectorum L.,Crepis tectorum L., + ,+,,,,,,Brassicaceae (Cruciferae),Alliaria petiolata (Bieb) Cavata et Grande,,-,+
Asteraceae (Compositae),Erigeron acris L.,Erigeron acris L., + ,+,,,,,,Alliaceae,Allium angulosum L.,,-,+
Asteraceae (Compositae),Filaginella uliginosa (L.) Opiz,Gnaphalium uliginosum L., + ,-,,,,,,Alliaceae,Allium decipiens Fisch. ex Schult. et Schult. fil,,-,+
Asteraceae (Compositae),Hieracium albocostatum (Norrl.) Juxip (= H. pseuderectum Schljakov),Hieracium albocostatum (Norrl.) Üksip ex Üksip, + ,-,,,,,,Alliaceae,Allium globosum Bieb.ex Redoute,,-,+
Asteraceae (Compositae),Hieracium angustum Lindeb.,Hieracium angustum Lindeb., + ,-,,,,,,Alliaceae,Allium lineare L.,,-,+
Asteraceae (Compositae),"Hieracium condylodes Brenn. (H. polycomum Dahlst. Ex Norrl., H. plurifoliosum Schischk. Et Steinb.)",Hieracium condylodes Brenner, + ,-,,,,,,Alliaceae,Allium microdictyon Prokh.,Allium microdictyon Prokh., + ,-
Asteraceae (Compositae),Hieracium diaphanoides Lindeb.,Hieracium diaphanoides Lindeb., + ,-,,,,,,Alliaceae,Allium oleraceum L.,,-,+
Asteraceae (Compositae),Hieracium diminuens (Norrl.) Norrl.,Hieracium diminuens (Norrl.) Norrl., + ,-,,,,,,Alliaceae,Allium strictum Scrad.,,-,+
Asteraceae (Compositae),Hieracium fulvescens Norrl.,Hieracium fulvescens Norrl., + ,-,,,,,,Alliaceae,Allium waldsteinii G. Don fil.,,-,+
Asteraceae (Compositae),Hieracium incurrens Saelàn ex Norrl.,Hieracium incurrens Saelán ex Norrl., + ,-,,,,,,Betulaceae,Alnus glutinosa (L.) Gaert. ,,-,+
Asteraceae (Compositae),Hieracium krylovii Nevsky ex Schljak.,Hieracium krylovii Nevski ex Schljakov, + ,-,,,,,,Betulaceae,Alnus incana (L.) Moench,Alnus incana (L.) Moench, + ,+
Asteraceae (Compositae),Hieracium patale Norrl. (incl. H. distractum Norrl.),Hieracium patale Norrl., + ,-,,,,,,Poaceae (Gramineae),Alopecurus aequalis Sobol.,Alopecurus aequalis Sobol., + ,+
Asteraceae (Compositae),"Hieracium reticulatum (Lindeb.) Lindeb. (= H. zinserlingianum Üksip, H. vischerae Juxip, H. neroikense Üksip)",Hieracium reticulatum Nägeli & Peter, + ,-,,,,,,Poaceae (Gramineae),Alopecurus arundinaceus Poir.  ,,-,+
Asteraceae (Compositae),Hieracium subpellucidum (Norrl.) Norrl.,Hieracium subpellucidum (Norrl.) Norrl., + ,-,,,,,,Poaceae (Gramineae),Alopecurus pratensis L.,Alopecurus pratensis L., + ,+
Asteraceae (Compositae),Hieracium umbellatum L.,Hieracium umbellatum L., + ,+,,,,,,Malvaceae ,Althaea oficinalis L. ,,-,+
Asteraceae (Compositae),Inula salicina L.,Inula salicina L., + ,+,,,,,,Brassicaceae (Cruciferae),Alyssum desertorum Stapf ,,-,+
Asteraceae (Compositae),Leontodon autumnalis L.,Scorzoneroides autumnalis (L.) Moench, + ,+,,,,,,Brassicaceae (Cruciferae),Alyssum gymnopodum P. Smirn.,,-,+
Asteraceae (Compositae),Chamomilla suaveolens (Pursh) Rydb.,Matricaria discoidea DC., + ,-,,,,,,Brassicaceae (Cruciferae),Alyssum lenense Adam.,,-,+
Asteraceae (Compositae),Leucanthemum vulgare Lam.,Leucanthemum vulgare (Vaill.) Lam., + ,+,,,,,,Brassicaceae (Cruciferae),Alyssum tortuosum Waldst. et Kit. ex Willd.,,-,+
Asteraceae (Compositae),Ligularia sibirica (L.) Cass.,Ligularia sibirica (L.) Cass., + ,-,,,,,,Amaranthaceae ,Amaranthus albus L. ,,-,+
Asteraceae (Compositae),Omalotheca sylvatica (L.) Sch. Bip. et F.Schultz,Gnaphalium sylvaticum L., + ,+,,,,,,Amaranthaceae ,Amaranthus blitoides S. Wats.,,-,+
Asteraceae (Compositae),Petasites radiatus (J.F.Gmel.) J.Toman,Petasites radiatus (J.F.Gmel.) J.Toman, + ,-,,,,,,Amaranthaceae ,Amaranthus blitum L.,,-,+
Asteraceae (Compositae),Picris hieracioides L.,Picris hieracioides L., + ,+,,,,,,Amaranthaceae ,Amaranthus paniculatus L.,,-,+
Asteraceae (Compositae),Pilosella × glomerata (Froel.) Fries,Pilosella glomerata (Froel.) Fr., + ,-,,,,,,Amaranthaceae ,Amaranthus retroflexus L.,,-,+
Asteraceae (Compositae),Pilosella aggr. vaillantii (Trausch) Sojak,Pilosella vaillantii (Tausch) Soják, + ,-,,,,,,Rosaceae,Amelanchier canadensis Med. ,,-,+
Asteraceae (Compositae),Pilosella × dubia (L.) Fries,Pilosella dubia (L.) F.W.Schultz & Sch.Bip., + ,-,,,,,,Fabaceae (Leguminosae),Amoria frasifera (L.) Roskov ,,-,+
Asteraceae (Compositae),Senecio nemorensis L.,Senecio nemorensis L., + ,-,,,,,,Fabaceae (Leguminosae),Amoria hybrida (L.) C.Presl,Trifolium hybridum L., + ,+
Asteraceae (Compositae),Solidago virgaurea L.,Solidago virgaurea L., + ,+,,,,,,Fabaceae (Leguminosae),Amoria montana (L.) Sojak,,-,+
Asteraceae (Compositae),Tanacetum vulgare L.,Tanacetum vulgare L., + ,+,,,,,,Fabaceae (Leguminosae),Amoria repens (L.) C.Presl,Trifolium repens L., + ,-
Asteraceae (Compositae),Taraxacum distantilobum Lindb. fil.,Taraxacum distantilobum H.Lindb., + ,+,,,,,,Fabaceae (Leguminosae),Amorpha fruticosa L.  ,,-,+
Asteraceae (Compositae),Taraxacum mucronatum Lindb. fil.,Taraxacum mucronatum H.Lindb., + ,+,,,,,,Fabaceae (Leguminosae),Amorpha repens (L.) C. Presl,,-,+
Asteraceae (Compositae),Taraxacum officinale F.H.Wigg. s. restr.,Taraxacum campylodes G.E.Haglund, + ,-,,,,,,Rosaceae,Amygdalus nana L. ,,-,+
Asteraceae (Compositae),Taraxacum ostenfeldii Raunk.,Taraxacum ostenfeldii Raunk., + ,-,,,,,,Boraginaceae,Anchusa officinalis L.,,-,+
Asteraceae (Compositae),Taraxacum parvuliceps Lindb. fil.,Taraxacum laceratum (Brenner) Brenner, + ,-,,,,,,Ericaceae,Andromeda polifolia L.,Andromeda polifolia L., + ,-
Asteraceae (Compositae),Taraxacum pectinatiforme Lindb. fil.,Taraxacum pectinatiforme H.Lindb., + ,-,,,,,,Primulaceae,Androsace elongata L. ,,-,+
Asteraceae (Compositae),Taraxacum penicilliforme Lindb. fil.,Taraxacum penicilliforme H.Lindb., + ,+,,,,,,Primulaceae,Androsace filiformis Retz.,Androsace filiformis Retz., + ,+
Asteraceae (Compositae),Tephroseris integrifolia (L.) Holub (= Senecio integrifolius (L.) Clairv.),Tephroseris integrifolia (L.) Holub, + ,+,,,,,,Primulaceae,Androsace septentrionalis L.,,-,+
Asteraceae (Compositae),Tripleurospermum perforatum (Mérat) M. Lainz ,Tripleurospermum inodorum (L.) Sch.Bip., + ,-,,,,,,Primulaceae,Androsace turczaninovii Freyn,,-,+
Asteraceae (Compositae),Trommsdorffia maculata (L.) Bernh. ,Hypochaeris maculata L., + ,+,,,,,,Ranunculaceae,Anemone sylvestris L. ,,-,+
Asteraceae (Compositae),Tussilago farfara L.,Tussilago farfara L., + ,+,,,,,,Ranunculaceae,Anemonoides × korshinsky S.Saksonov et N. Rakov,,-,+
Asteraceae (Compositae),Pilosella onegensis Norrl. (= Hieracium onegense (Norrl.) Norrl.),Pilosella onegensis Norrl., + ,-,,,,,,Ranunculaceae,Anemonoides altaica (C.A.Mey.) Holub,Anemone altaica Fisch. ex C.A.Mey., + ,+
Asteraceae (Compositae),Centaurea pseudophrygia C.A. Mey.,Centaurea phrygia subsp. pseudophrygia (C.A.Mey.) Gugler, + ,-,,,,,,Ranunculaceae,Anemonoides ranunculoides (L.) Holub,,-,+
Asteraceae (Compositae),Pilosella cymosa (L.) F.W. Schultz & Sch. Bip.,Pilosella cymosa (L.) F.W.Schultz & Sch.Bip., + ,+,,,,,,Ranunculaceae,Anemonoides reflexa (Steph.) Holub,Anemone reflexa Stephan ex Willd., + ,-
Asteraceae (Compositae),Achillea collina J.Becker ex Reichenb.,,-,+,,,,,,Ranunculaceae,Anemonoides uralensis (DC.) Holub,Anemone uralensis Fisch. ex DC., + ,-
Asteraceae (Compositae),Achillea inudata Kondr. ,,-,+,,,,,,Apiaceae (Umbelliferae),Angelica sylvestris L.,Angelica sylvestris L., + ,+
Asteraceae (Compositae),Achillea nobilis L.,,-,+,,,,,,Poaceae (Gramineae),Anisantha tectorum (L.) Nevski  ,,-,+
Asteraceae (Compositae),Achillea setaceae Waldst. et Kit.,,-,+,,,,,,Asteraceae (Compositae),Antennaria dioica (L.) Gaertn.,Antennaria dioica (L.) Gaertn., + ,+
Asteraceae (Compositae),Achillea stepposa Klok. et Krytzka,,-,+,,,,,,Asteraceae (Compositae),Antennaria dioica (L.) Gaertn. ,,-,+
Asteraceae (Compositae),Antennaria dioica (L.) Gaertn. ,,-,+,,,,,,Asteraceae (Compositae),Antennaria dioica (L.) Gaertn. ,,-,+
Asteraceae (Compositae),Antennaria dioica (L.) Gaertn. ,,-,+,,,,,,Asteraceae (Compositae),Anthemis subtinctoria Dobrocz. ,,-,+
Asteraceae (Compositae),Anthemis subtinctoria Dobrocz. ,,-,+,,,,,,Poaceae (Gramineae),Anthoxanthum odoratum L.,Anthoxanthum odoratum L., + ,+
Asteraceae (Compositae),Arctium × ambiguum (Celak.) Nym.,,-,+,,,,,,Apiaceae (Umbelliferae),Anthriscus sylvestris (L.) Hoffm.,Anthriscus sylvestris (L.) Hoffm., + ,+
Asteraceae (Compositae),Arctium lappa L.,,-,+,,,,,,Ranunculaceae,Aquilegia vulgaris L. ,,-,+
Asteraceae (Compositae),Arctium minus (Hill) Bernh.,,-,+,,,,,,Brassicaceae (Cruciferae),Arabidopsis thaliana (L.) Heynh. ,,-,+
Asteraceae (Compositae),Arctium x mixutum (Simonk.) Nym.,,-,+,,,,,,Brassicaceae (Cruciferae),Arabidopsis toxophylla (Bieb.) N. Busch,,-,+
Asteraceae (Compositae),Arctium nemorosum Lej.,,-,+,,,,,,Brassicaceae (Cruciferae),Arabis auriculata Lam. ,,-,+
Asteraceae (Compositae),Artemisia abortanum L. ,,-,+,,,,,,Brassicaceae (Cruciferae),Arabis gerardii (Bess.) Koch,,-,+
Asteraceae (Compositae),Artemisia absinthium L.,,-,+,,,,,,Brassicaceae (Cruciferae),Arabis pendula L.,,-,+
Asteraceae (Compositae),Artemisia annua L.,,-,+,,,,,,Brassicaceae (Cruciferae),Arabis sagittata (Bertol.) DC.,,-,+
Asteraceae (Compositae),Artemisia armeniaca Lam.,,-,+,,,,,,Apiaceae (Umbelliferae),Archangelica officinalis Hoffm ,,-,+
Asteraceae (Compositae),Artemisia austriaca Jacq.,,-,+,,,,,,Asteraceae (Compositae),Arctium × ambiguum (Celak.) Nym.,,-,+
Asteraceae (Compositae),Artemisia campestris L.,,-,+,,,,,,Asteraceae (Compositae),Arctium lappa L.,,-,+
Asteraceae (Compositae),Artemisia commutata Bess. ,,-,+,,,,,,Asteraceae (Compositae),Arctium minus (Hill) Bernh.,,-,+
Asteraceae (Compositae),Artemisia latifolia Ledeb.,,-,+,,,,,,Asteraceae (Compositae),Arctium nemorosum Lej.,,-,+
Asteraceae (Compositae),Artemisia marschalliana Spreng.,,-,+,,,,,,Asteraceae (Compositae),Arctium tomentosum Mill.,Arctium tomentosum Mill., + ,+
Asteraceae (Compositae),Artemisia pontica L.,,-,+,,,,,,Asteraceae (Compositae),Arctium x mixutum (Simonk.) Nym.,,-,+
Asteraceae (Compositae),Artemisia salsoloides Willd.,,-,+,,,,,,Ericaceae ,Arctostaphylos uva-ursi (L.) Spreng. ,,-,+
Asteraceae (Compositae),Artemisia scoparia Waldst. et Kit.,,-,+,,,,,,Caryophyllaceae ,Arenaria leptoclados (Reichenb.) Guss. ,,-,+
Asteraceae (Compositae),Artemisia sericea Web. ex Stechm.,,-,+,,,,,,Caryophyllaceae ,Arenaria serpyllifolia L.,,-,+
Asteraceae (Compositae),Artemisia sieversiana Willd.,,-,+,,,,,,Boraginaceae,Argusia sibirica (L.) Dandy,,-,+
Asteraceae (Compositae),Aster alpinus L. ,,-,+,,,,,,Aristolochiaceae,Aristolochia clematitis L.,,-,+
Asteraceae (Compositae),Aster bessarabicus Bernh. ex Reichenb.,,-,+,,,,,,Brassicaceae (Cruciferae),"Armoracia rusticana Gaertn., Mey. et Scherb. ",,-,+
